Property Id,Property Name,Year Ending,"NYC Borough, Block and Lot (BBL)",NYC Building Identification Number (BIN),Address 1,City,Postal Code,ENERGY STAR Score,National Median ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),National Median Site EUI (kBtu/ft²),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Weather Normalized Site Electricity Intensity (kWh/ft²),Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),National Median Source EUI (kBtu/ft²),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Electricity Use - Grid Purchase (kBtu),Electricity Use - Grid Purchase (kWh),Weather Normalized Site Electricity (kWh),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kWh),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu)
10856050,(6022)-(NG) 9410 59 AVE,12/31/2021,4-01910-7501,4047252,9410 59 AVE,Queens,11373,100,50,1,1,101.5,376800,380353.5,Not Available,1.1,1.1,106.5,395640,399371.2,Not Available,Not Available,Not Available,Not Available,Not Available
15971407,(6022) - Extra Building 94-31 59 Ave/94-30 58 Ave,12/31/2021,4-01911-7501,4047258,94-31 59 Avenue,queens,11373,100,50,1.4,1.4,38.1,1007707.3,961648,0.4,4,3.8,106.5,2821580.6,2692614.4,1007707.3,295342.1,281842.9,295342.1,1007707.2
15971408,(6022) - Extra Building 94-31 60 Ave,12/31/2021,4-01912-7501,4433107,94-31 60 Ave,Queens,11373,100,50,2,2,38.1,1393713.6,1374207.6,0.6,5.6,5.5,106.5,3902398,3847781.4,1393713.6,408474,402757.2,408474.1,1393713.6
15971410,(6022) - Extra Building 94-30 60 Ave,12/31/2021,4-01913-7501,4047305,94-30 60 Ave,Queens,11373,100,50,1.4,1.4,38.1,1013020,979823.3,0.4,4.1,3.9,106.5,2836456,2743505.2,1013020,296899.1,287169.7,296899.2,1013020.1
4405691,The Lawrence House,12/31/2021,1-00576-0001,1009609,79 West 12th Street,New York,10011,44,50,79.9,85.4,77.1,10478873.4,11192259.8,5.7,118.5,123.4,114.4,15540719.6,16179596.8,2593087.1,759990.3,741538,759990.4,2593087.2
6291817,345 East 54th Owners Corp,12/31/2021,1-01347-0018,1039948,345 East 54th St,Manhattan,10022,33,50,131.7,138.9,118.3,4968055.6,5240718.7,5.3,166.6,172.8,149.7,6285181.1,6518399.4,706195.7,206974.1,200063.2,206974.1,706195.6
2799344,"Cleo Realty Company, LLC",12/31/2021,1-01233-0029,1033139,201 West 85th St.,New York,10024,83,50,62.6,Not Available,80.9,6603541.6,Not Available,3.5,85.6,Not Available,110.7,9031990.6,Not Available,1314746.6,385330.1,373170.2,385330.2,1314746.6
4955236,The Traymore Condominiums,12/31/2021,3-01181-7502,3029651,225 Eastern Parkway,Brooklyn,11238,88,50,76.6,84.1,106.3,7468088.5,8200035.8,3.2,99.8,107.2,138.5,9728848.5,10450982.5,1078488.9,316087,308314.3,316087,1078488.8
20476077,President St. Condominium - The Mill,12/31/2021,3-00444-7501,3347155,376 President Street,Brooklyn,11231,92,50,50.9,54.5,73.4,3707664.7,3971606,4.8,83.4,86,120.4,6083285.6,6267093.7,1251564.4,366812.5,351181.9,366812.5,1251564.2
20476091,Carroll Gardens Landmark Condominium,12/31/2021,3-00345-7501,3004582,360 Court Street,Brooklyn,11231,66,50,39.2,39.7,43.9,1065897.7,1078429.1,11.3,107.8,109,120.7,2927638.7,2961717.1,1033397.7,302871.5,306375.2,302871.6,1033397.9
